year_pair,Site,MRSValue
1993-1994,A,1.2
1994-1995,A,1.571428571
1995-1996,A,1.714285714
1996-1997,A,1.222222222
1997-1998,A,1.888888889
1998-1999,A,1.5
1999-2000,A,0.777777778
2000-2001,A,0.571428571
2001-2002,A,1.166666667
2002-2003,A,1.166666667
2003-2004,A,1.777777778
2004-2005,A,2
2005-2006,A,1.666666667
2006-2007,A,1.285714286
2007-2008,A,1.2
2008-2010,A,1.6
2010-2011,A,NA
2011-2012,A,1.6
2012-2013,A,NA
2013-2014,A,0.4
2014-2015,A,1.142857143
2015-2016,A,0.714285714
2016-2017,A,2
1993-1994,B,1.375
1994-1995,B,1.8
1995-1996,B,2.375
1996-1997,B,2.285714286
1997-1998,B,2.888888889
1998-1999,B,0.875
1999-2000,B,1.375
2000-2001,B,0.6
2001-2002,B,0.8
2002-2003,B,0.333333333
2003-2004,B,0.285714286
2004-2005,B,0.5
2005-2006,B,0.666666667
2006-2007,B,0.666666667
2007-2008,B,0.666666667
2008-2010,B,0.8
2010-2011,B,0.4
2011-2012,B,NA
2012-2013,B,1.166666667
2013-2014,B,1.666666667
2014-2015,B,1.714285714
2015-2016,B,2.5
2016-2017,B,NA
1993-1994,C,3
1994-1995,C,1.25
1995-1996,C,0.857142857
1996-1997,C,1.714285714
1997-1998,C,1.666666667
1998-1999,C,1.875
1999-2000,C,0.571428571
2000-2001,C,2
2001-2002,C,1.111111111
2002-2003,C,1
2003-2004,C,1.75
2004-2005,C,1.142857143
2005-2006,C,1
2006-2007,C,1.666666667
2007-2008,C,1.375
2008-2010,C,0.875
2010-2011,C,1.2
2011-2012,C,NA
2012-2013,C,1.2
2013-2014,C,0.6
2014-2015,C,0.6
2015-2016,C,0
2016-2017,C,0.5
1993-1994,D,1.625
1994-1995,D,2.416666667
1995-1996,D,1.4
1996-1997,D,1.25
1997-1998,D,2
1998-1999,D,0.6
1999-2000,D,0.2
2000-2001,D,1.6
2001-2002,D,2.545454545
2002-2003,D,2.444444444
2003-2004,D,2.5
2004-2005,D,2
2005-2006,D,1.111111111
2006-2007,D,0.875
2007-2008,D,0
2008-2010,D,0.625
2010-2011,D,0.625
2011-2012,D,NA
2012-2013,D,0.333333333
2013-2014,D,0.428571429
2014-2015,D,1.125
2015-2016,D,1.555555556
2016-2017,D,1.25
1993-1994,E,1.6
1994-1995,E,2.111111111
1995-1996,E,1.125
1996-1997,E,1.333333333
1997-1998,E,1
1998-1999,E,0.875
1999-2000,E,0.714285714
2000-2001,E,NA
2001-2002,E,NA
2002-2003,E,1
2003-2004,E,0.4
2004-2005,E,0.6
2005-2006,E,1.4
2006-2007,E,0.444444444
2007-2008,E,1
2008-2010,E,2
2010-2011,E,0.857142857
2011-2012,E,1.285714286
2012-2013,E,1.6
2013-2014,E,1
2014-2015,E,1.6
2015-2016,E,0.666666667
2016-2017,E,0.666666667
1993-1994,F,3.2
1994-1995,F,1.7
1995-1996,F,2.363636364
1996-1997,F,1.8
1997-1998,F,1.428571429
1998-1999,F,2.125
1999-2000,F,2.2
2000-2001,F,4.153846154
2001-2002,F,1.1
2002-2003,F,0.571428571
2003-2004,F,1.125
2004-2005,F,1.4
2005-2006,F,1.090909091
2006-2007,F,1.454545455
2007-2008,F,1.75
2008-2010,F,1.333333333
2010-2011,F,1.125
2011-2012,F,0.75
2012-2013,F,1.8
2013-2014,F,1.727272727
2014-2015,F,1.545454545
2015-2016,F,1.6
2016-2017,F,1.6
